Date/Time,"Pitch, Roll, Yaw",Magnetometer,Coordinates,Ndvi Values
2022-04-12 22:20:32.830023,"{'roll': 225.93942387682088, 'pitch': 299.9068823613931, 'yaw': 157.3501551550886}",158.08993294409268,"{'latitude': '2/1,40/1,488/10', 'latitudeRef': 'N', 'longitude': '125/1,42/1,29/10', 'longitudeRef': 'E'}","[0.273228029947306, 0.05480544621247703, 0.040159862882210406, 0.4692376009728031]"
2022-04-12 22:20:38.142702,"{'roll': 225.93941021644255, 'pitch': 299.90688919158225, 'yaw': 158.31356699789723}",158.9224920227822,"{'latitude': '3/1,14/1,470/10', 'latitudeRef': 'N', 'longitude': '126/1,6/1,32/10', 'longitudeRef': 'E'}",/
2022-04-12 22:20:41.145684,"{'roll': 225.93942387682088, 'pitch': 299.9068755312039, 'yaw': 159.15141264300436}",159.93868756749671,"{'latitude': '3/1,23/1,582/10', 'latitudeRef': 'N', 'longitude': '126/1,12/1,330/10', 'longitudeRef': 'E'}",/
2022-04-12 22:20:44.135523,"{'roll': 225.93942387682088, 'pitch': 299.9068550406364, 'yaw': 160.15814154552922}",160.77292687272205,"{'latitude': '3/1,33/1,71/10', 'latitudeRef': 'N', 'longitude': '126/1,19/1,15/10', 'longitudeRef': 'E'}",/
2022-04-12 22:20:52.841635,"{'roll': 225.9394648579559, 'pitch': 299.9068687010148, 'yaw': 160.99213496394444}",161.7437153198343,"{'latitude': '3/1,42/1,28/10', 'latitudeRef': 'N', 'longitude': '126/1,25/1,208/10', 'longitudeRef': 'E'}","[0.1749724612154115, 0.05322726239312957, 0.006213903101678529, 0.4572631675725447]"
2022-04-12 22:20:58.162773,"{'roll': 225.9394648579559, 'pitch': 299.9068413802581, 'yaw': 162.01386296188664}",162.57631537965887,"{'latitude': '4/1,16/1,7/10', 'latitudeRef': 'N', 'longitude': '126/1,49/1,254/10', 'longitudeRef': 'E'}",/
2022-04-12 22:21:01.158971,"{'roll': 225.9394648579559, 'pitch': 299.9068413802581, 'yaw': 162.80477154701745}",163.5794106215453,"{'latitude': '4/1,25/1,104/10', 'latitudeRef': 'N', 'longitude': '126/1,55/1,555/10', 'longitudeRef': 'E'}",/
2022-04-12 22:21:04.150659,"{'roll': 225.93949217871258, 'pitch': 299.90684821044727, 'yaw': 163.87171539726515}",164.566810088719,"{'latitude': '4/1,34/1,189/10', 'latitudeRef': 'N', 'longitude': '127/1,2/1,251/10', 'longitudeRef': 'E'}",/
2022-04-12 22:21:12.780107,"{'roll': 225.93950583909094, 'pitch': 299.90682088969055, 'yaw': 164.8633222609676}",165.82879682090558,"{'latitude': '4/1,43/1,142/10', 'latitudeRef': 'N', 'longitude': '127/1,8/1,455/10', 'longitudeRef': 'E'}","[0.3135738910976567, -0.0008048702954097563, -0.00023151307188548742, 0.29455260978420955]"
2022-04-12 22:21:18.171037,"{'roll': 225.93950583909094, 'pitch': 299.9068140595014, 'yaw': 166.1877096014114}",167.26657896194993,"{'latitude': '5/1,17/1,93/10', 'latitudeRef': 'N', 'longitude': '127/1,32/1,538/10', 'longitudeRef': 'E'}",/
2022-04-12 22:21:21.173978,"{'roll': 225.93950583909094, 'pitch': 299.9068072293122, 'yaw': 167.63569604507578}",168.74226865288787,"{'latitude': '5/1,26/1,195/10', 'latitudeRef': 'N', 'longitude': '127/1,39/1,260/10', 'longitudeRef': 'E'}",/
2022-04-12 22:21:24.164632,"{'roll': 225.93950583909094, 'pitch': 299.9068140595014, 'yaw': 169.08562226246443}",170.10571101500582,"{'latitude': '5/1,35/1,275/10', 'latitudeRef': 'N', 'longitude': '127/1,45/1,569/10', 'longitudeRef': 'E'}",/
2022-04-12 22:21:32.927976,"{'roll': 225.93951949946927, 'pitch': 299.9068072293122, 'yaw': 170.44954273782426}",171.4901903597674,"{'latitude': '5/1,44/1,223/10', 'latitudeRef': 'N', 'longitude': '127/1,52/1,187/10', 'longitudeRef': 'E'}","[0.1673225590996908, 0.03431992039585973, -0.003943889692500652, 0.47005643375704365]"
2022-04-12 22:21:38.184317,"{'roll': 225.9395331598476, 'pitch': 299.9068140595014, 'yaw': 171.8975565022453}",173.4678033320529,"{'latitude': '6/1,18/1,151/10', 'latitudeRef': 'N', 'longitude': '128/1,16/1,325/10', 'longitudeRef': 'E'}",/
2022-04-12 22:21:41.188175,"{'roll': 225.93950583909094, 'pitch': 299.9068072293122, 'yaw': 174.0508692607402}",175.82936855834149,"{'latitude': '6/1,27/1,248/10', 'latitudeRef': 'N', 'longitude': '128/1,23/1,64/10', 'longitudeRef': 'E'}",/
2022-04-12 22:21:44.179065,"{'roll': 225.93950583909094, 'pitch': 299.9068072293122, 'yaw': 176.38176693765544}",177.90988516066238,"{'latitude': '6/1,36/1,321/10', 'latitudeRef': 'N', 'longitude': '128/1,29/1,389/10', 'longitudeRef': 'E'}",/
2022-04-12 22:21:52.916573,"{'roll': 225.93951949946927, 'pitch': 299.9068072293122, 'yaw': 178.552059546427}",180.43947668299896,"{'latitude': '6/1,45/1,262/10', 'latitudeRef': 'N', 'longitude': '128/1,36/1,24/10', 'longitudeRef': 'E'}","[0.18022378501465244, 0.003968550550966584, -0.0019901841658884656, 0.31027943114816364]"
2022-04-12 22:21:58.199396,"{'roll': 225.9395331598476, 'pitch': 299.9068140595014, 'yaw': 181.13346488380728}",183.05778872018834,"{'latitude': '7/1,19/1,164/10', 'latitudeRef': 'N', 'longitude': '129/1,0/1,228/10', 'longitudeRef': 'E'}",/
2022-04-12 22:22:01.189392,"{'roll': 225.9395331598476, 'pitch': 299.90683455006894, 'yaw': 183.77103805445608}",185.80990416321825,"{'latitude': '7/1,28/1,231/10', 'latitudeRef': 'N', 'longitude': '129/1,6/1,570/10', 'longitudeRef': 'E'}",/
2022-04-12 22:22:04.202290,"{'roll': 225.9395331598476, 'pitch': 299.90682088969055, 'yaw': 186.46019281371682}",188.25007120647535,"{'latitude': '7/1,37/1,336/10', 'latitudeRef': 'N', 'longitude': '129/1,13/1,343/10', 'longitudeRef': 'E'}",/
2022-04-12 22:22:12.830994,"{'roll': 225.9395331598476, 'pitch': 299.90682088969055, 'yaw': 188.8190259643374}",190.5367775594606,"{'latitude': '7/1,46/1,252/10', 'latitudeRef': 'N', 'longitude': '129/1,19/1,583/10', 'longitudeRef': 'E'}","[0.22364448099149556, 0.07206916221913971, 0.016932886415995305, 0.4409027271208291]"
2022-04-12 22:22:18.213641,"{'roll': 225.93951949946927, 'pitch': 299.90682088969055, 'yaw': 191.11825888426046}",193.16928272974525,"{'latitude': '8/1,20/1,123/10', 'latitudeRef': 'N', 'longitude': '129/1,44/1,264/10', 'longitudeRef': 'E'}",/
2022-04-12 22:22:21.203522,"{'roll': 225.93951949946927, 'pitch': 299.90682088969055, 'yaw': 193.884540139629}",196.17496211552273,"{'latitude': '8/1,29/1,181/10', 'latitudeRef': 'N', 'longitude': '129/1,51/1,27/10', 'longitudeRef': 'E'}",/
2022-04-12 22:22:24.215699,"{'roll': 225.9395331598476, 'pitch': 299.90683455006894, 'yaw': 196.93768934013804}",199.15374421634868,"{'latitude': '8/1,38/1,275/10', 'latitudeRef': 'N', 'longitude': '129/1,57/1,421/10', 'longitudeRef': 'E'}",/
2022-04-12 22:22:32.885111,"{'roll': 225.93951949946927, 'pitch': 299.9068072293122, 'yaw': 199.91965430911722}",202.42741290440077,"{'latitude': '8/1,47/1,185/10', 'latitudeRef': 'N', 'longitude': '130/1,4/1,85/10', 'longitudeRef': 'E'}","[0.22522294914868612, 0.07796646421131692, 0.07815920497682421, 0.5646799054598842]"
2022-04-12 22:22:38.228162,"{'roll': 225.93951949946927, 'pitch': 299.9068003991231, 'yaw': 203.32089727048682}",205.95211836520753,"{'latitude': '9/1,21/1,20/10', 'latitudeRef': 'N', 'longitude': '130/1,28/1,453/10', 'longitudeRef': 'E'}",/
2022-04-12 22:22:41.217803,"{'roll': 225.93951949946927, 'pitch': 299.9068072293122, 'yaw': 206.76048491385686}",209.05474545606415,"{'latitude': '9/1,30/1,69/10', 'latitudeRef': 'N', 'longitude': '130/1,35/1,241/10', 'longitudeRef': 'E'}",/
2022-04-12 22:22:44.229770,"{'roll': 225.93950583909094, 'pitch': 299.90682088969055, 'yaw': 209.83353728560735}",212.19350424763016,"{'latitude': '9/1,39/1,152/10', 'latitudeRef': 'N', 'longitude': '130/1,42/1,59/10', 'longitudeRef': 'E'}",/
2022-04-12 22:22:52.866218,"{'roll': 225.93950583909094, 'pitch': 299.9068140595014, 'yaw': 213.00751253253392}",215.61063422900918,"{'latitude': '9/1,48/1,52/10', 'latitudeRef': 'N', 'longitude': '130/1,48/1,348/10', 'longitudeRef': 'E'}","[0.261815080191846, 0.08068335706925452, 0.08188277563957627, 0.5842606476833586]"
2022-04-12 22:22:58.242142,"{'roll': 225.93949217871258, 'pitch': 299.9068072293122, 'yaw': 216.42947828784534}",218.61997459618178,"{'latitude': '10/1,21/1,448/10', 'latitudeRef': 'N', 'longitude': '131/1,13/1,214/10', 'longitudeRef': 'E'}",/
2022-04-12 22:23:01.214380,"{'roll': 225.93947851833425, 'pitch': 299.9068072293122, 'yaw': 219.33297804363943}",221.6325251522643,"{'latitude': '10/1,30/1,453/10', 'latitudeRef': 'N', 'longitude': '131/1,20/1,6/10', 'longitudeRef': 'E'}",/
2022-04-12 22:23:04.243964,"{'roll': 225.93947851833425, 'pitch': 299.90682088969055, 'yaw': 222.423269812855}",224.49541260325347,"{'latitude': '10/1,39/1,557/10', 'latitudeRef': 'N', 'longitude': '131/1,26/1,476/10', 'longitudeRef': 'E'}",/
